,,,,,weight (g),width relaxed,height relaxed,width stretched,height stretched,,,,,,,,,,,,,,
,,,std dev,std dev,0.13,9.11,5.77,13.53,10.26,,,,,,,,,,,,,,
,,,median,median,3.98,103.00,82.00,171.00,100.00,,,,,,,,,,,,,,
,,,average,average,3.98,103.00,82.47,171.28,100.98,,,,,,,,,,,,,,
,,,max,max,4.37,129.00,101.00,227.00,179.00,,,,,,,,,,,,,,
,,,min,min,3.26,77.00,65.00,121.00,67.00,,,,,,,,,,,#DIV/0!,,,
knit?,datID,datPos,patternName,"if reprocessed, new ID",weight (g),width relaxed,height relaxed,width stretched,height stretched,KnitPaint error or other knitting notes,double decrease (in SM set),toMachine error,dataset,photo relaxed,photo stretched,Relaxed Width Gauge (st/mm),Relaxed Height Gauge (row/mm),Stretched Width Gauge (st/mm),Stretched Height Gauge (row/mm),Relaxed Width Gauge (st/in),Relaxed Height Gauge (row/in),Stretched Width Gauge (st/in),Stretched Height Gauge (row/in)
,,,,,,,,,,"note ""ESC"" = ""essential stitch collection"", ""SM"" = ""stitch maps""",,,,,,,,,,,,,
/,29,3,132Confetti_out.chart,301_1,,,,,,Pattern just has a whole lot of transferring.  Every swatch of it has had a handful of dropped stitches.,,false ,ESC,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
x,30,1,133Harebell_out.chart,204_1,4.00,104,83,162,105,double decreases,,false ,ESC,,,0.5769230769,0.7228915663,0.3703703704,0.5714285714,14.65384615,18.36144578,9.407407407,14.51428571
x,30,2,136ZigZagLace_out.chart,,3.81,115,82,170,109,,,false ,ESC,,,0.5217391304,0.7317073171,0.3529411765,0.5504587156,13.25217391,18.58536585,8.964705882,13.98165138
x,30,3,137ChevronLace_out.chart,,3.85,105,79,174,81,,,false ,ESC,,,0.5714285714,0.7594936709,0.3448275862,0.7407407407,14.51428571,19.29113924,8.75862069,18.81481481
x,31,1,138DaisyLadder_out.chart,301_2,3.88,101,79,158,106,,,false ,ESC,,,0.5940594059,0.7594936709,0.3797468354,0.5660377358,15.08910891,19.29113924,9.64556962,14.37735849
x,31,2,139Crocus_out.chart,301_3,3.84,104,82,171,104,,,false ,ESC,,,0.5769230769,0.7317073171,0.350877193,0.5769230769,14.65384615,18.58536585,8.912280702,14.65384615
,31,3,140JeweledHeart_out.chart,204_2,4.00,101,84,164,108,chart was wrong size (probably happened when fixing the bad panel repeat); waiting for a new chart,,false ,ESC,,,0.5940594059,0.7142857143,0.3658536585,0.5555555556,15.08910891,18.14285714,9.292682927,14.11111111
x,32,1,142LacyPaisley_out.chart,302_1,3.99,105,77,166,92,,,false ,ESC,,,0.5714285714,0.7792207792,0.3614457831,0.652173913,14.51428571,19.79220779,9.180722892,16.56521739
x,32,2,143TrellisAndVine_out.chart,302_2,4.11,105,79,162/160,100/101,measured twice,,false ,ESC,,,0.5714285714,0.7594936709,#VALUE!,#VALUE!,14.51428571,19.29113924,#VALUE!,#VALUE!
x,32,3,144MoonFlower_out.chart,302_3,4.08,101,90,177,108,,,false ,ESC,,,0.5940594059,0.6666666667,0.3389830508,0.5555555556,15.08910891,16.93333333,8.610169492,14.11111111
/,33,1,146FiligreeHeart_out.chart,200_1,3.92,101,81,163,102,needs a repeat fix from megan,,false ,ESC,,,0.5940594059,0.7407407407,0.3680981595,0.5882352941,15.08910891,18.81481481,9.349693252,14.94117647
x,33,2,147DiamondWithDiamond_out.chart,,3.86,110,84,195,76,"lea needs to debug a double decrease, boo",,false ,ESC,,,0.5454545455,0.7142857143,0.3076923077,0.7894736842,13.85454545,18.14285714,7.815384615,20.05263158
x,33,3,148DoublDiamondMesh_out.chart,205_1,3.89,107,80,177,94,dropped stitches,,false ,ESC,,,0.5607476636,0.75,0.3389830508,0.6382978723,14.24299065,19.05,8.610169492,16.21276596
x,34,1,150Triangles_out.chart,303_1,3.81,101,83,182,94,,,false ,ESC,,,0.5940594059,0.7228915663,0.3296703297,0.6382978723,15.08910891,18.36144578,8.373626374,16.21276596
x,34,2,152OutlinedDaimonds_out.chart,205_2,3.86,105,80,165,97,has been reknit,,false ,ESC,,,0.5714285714,0.75,0.3636363636,0.618556701,14.51428571,19.05,9.236363636,15.71134021
x,34,3,154LittleBranches_out.chart,303_2,3.83,103,86,172,110,,,false ,ESC,,,0.5825242718,0.6976744186,0.3488372093,0.5454545455,14.7961165,17.72093023,8.860465116,13.85454545
x,35,1,155Lily_out.chart,206_1,3.94,104,82,164,98,"*one* dropped stitch, so probably mechanical, not code error",,false ,ESC,,,0.5769230769,0.7317073171,0.3658536585,0.612244898,14.65384615,18.58536585,9.292682927,15.55102041
x,35,2,157RibbedLeaves_out.chart,206_2,3.98,98,86,160,106,several dropped stitches,,false ,ESC,,,0.612244898,0.6976744186,0.375,0.5660377358,15.55102041,17.72093023,9.525,14.37735849
x,35,3,158FlowerGarden_out.chart,,3.93,101,86,185,82,,,false ,ESC,,,0.5940594059,0.6976744186,0.3243243243,0.7317073171,15.08910891,17.72093023,8.237837838,18.58536585
x,36,1,159FernLace_out.chart,207_1,3.92,105,79,153,101,dropped stitches,,false ,ESC,,,0.5714285714,0.7594936709,0.3921568627,0.5940594059,14.51428571,19.29113924,9.960784314,15.08910891
x,36,2,162DaisyLace_out.chart,207_2,3.88,106,80,161,95,dropped stitches,,false ,ESC,,,0.5660377358,0.75,0.3726708075,0.6315789474,14.37735849,19.05,9.465838509,16.04210526
,37,1,000No_out.chart,,3.98,98,88,157,101,double decrease bug (code error),x,false ,SM,,,0.612244898,0.6818181818,0.3821656051,0.5940594059,15.55102041,17.31818182,9.707006369,15.08910891
,37,2,0011_f909807e3256dfdf1fc151f54cc590e83fb9d750_out.chart,,4.06,101,86,183,95,double decrease bug (code error),x,false ,SM,,,0.5940594059,0.6976744186,0.3278688525,0.6315789474,15.08910891,17.72093023,8.327868852,16.04210526
