"datID","datPos","patternName","simpleName","Source","Second Measurement?","Mass (g)","Relaxed Width (mm)","Relaxed Height (mm)","Stretched Width (mm)","Stretched Height (mm)","Note"
,,"008Pid_e8843cb93439b1df55279dfae7cc2f7e88ca8987_out.chart",,SM,yes,4.16,83,94,182,121,"second measurement; photo ""B"""
40,1,"009stv_72059806309ddabda802dc431cbf0c3fb28101c6_out.chart","40_1_009stv",SM,,4.08,99,79,164,99,
40,2,"010heat_6d10dd69114c06680d304884fc652202c8fbe7a7_out.chart","40_2_010heat",SM,,4.04,88,83,156,107,"deliberate double YO"
40,3,"011hmmm_77509b5688b18f9bb595efa5f3de88ad6442b711_out.chart","40_3_011hmmm",SM,,3.93,104,83,169,95,
41,1,"012Lace_9b48b057c1b0f8f5fdfcaabedf7bc2cbf77d84ae_out.chart","41_1_012Lace",SM,,3.89,106,82,162,102,"double decrease"
41,2,"013Leaf_977b99e05aa73950ff7f2290ead96460b4967f6e_out.chart","41_2_013Leaf",SM,,3.83,100,87,167,97,"double decrease"
41,3,"014Leaf_eaee905491961ef7c45926feec3ad7603db27ab5_out.chart","41_3_014Leaf",SM,,3.87,103,85,168,99,"double decrease"
42,1,"015Leaf_f6cd6750191f5f193385f9e87fc017fedb41e1aa_out.chart","42_1_015Leaf",SM,,4.05,104,84,179,97,
42,2,"016Moon_23664ccb0b50ad8c2c50b11699961606de18693f_out.chart","42_2_016Moon",SM,,3.83,109,85,174,108,
42,3,"017Rain_a10feadb15543908e16bd387c48b10f34dfa7cb2_out.chart","42_3_017Rain",SM,,3.77,107,83,173,92,
43,1,"018seas_2530bcab9a93023d83575dc2658819a8b6cc35ff_out.chart","43_1_018seas",SM,,3.88,109,83,174,104,
43,2,"019test_0c2b2b6c7fac13033b9e87a40d82332a266b1e67_out.chart","43_2_019test",SM,,3.86,110,81,180,91,
43,3,"020test_13bab4ebbb5c060e57d07369d8a1b5fb71de59e5_out.chart","43_3_020test",SM,,3.94,108,82,171,105,
44,1,"021test_29b57bab76928ce641c7252c90c769b13b79e5a5_out.chart","44_1_021test",SM,,4.01,111,87,177,101,
44,2,"022Test_48026a651a1aa68c4817df897cef6d86586cc448_out.chart","44_2_022Test",SM,,3.98,111,87,184,111,
44,3,"023Test_68622b45b5c45d06a5b364c1ad7eebc0ef955d3f_out.chart","44_3_023Test",SM,,3.92,112,83,190,102,
45,1,"024test_84501c8d6aefbfac2aaff2bcc68e40ba430294a1_out.chart","45_1_024test",SM,,4.07,104,77,165,110,
45,2,"026test_c619779dd9d7805e130d7e56f7c1d545bb93b317_out.chart","45_2_026test",SM,,3.93,104,75,169,108,
45,3,"027Test_d640e4f882d4c0d7951e6cdf5f21a5c487b63e4c_out.chart","45_3_027Test",SM,,3.76,104,82,172,100,
46,1,"028Test_df6a58b5e8c03b29a288120750cfb88bb3fdbfc7_out.chart","46_1_028Test",SM,,3.97,110,79,199,99,
46,2,"029tjum_1cb51105fcf264d70f88621048c49f4e2ef576bd_out.chart","46_2_029tjum",SM,,3.96,114,79,167,94,"double decrease"
46,3,"030Wave_00a56ff77532c138e9912127cb723d04cdf36ed9_out.chart","46_3_030Wave",SM,,4.01,109,86,189,96,"deliberate double YO"
47,1,"031Wave_fea69b8345482677e38ee2310dc35b93e8a7a963_out.chart","47_1_031Wave",SM,,4.01,98,72,154,108,
47,3,"033aj001_aba8a8ab6c7f543d7716e9cda5f4392a560af295_out.chart","47_3_033aj001",SM,,4.08,98,73,176,97,
48,1,"035curvy_f9ca0a1d8acc683c07dd4c79b57ca8e2e9ee7e2d_out.chart","48_1_035curvy",SM,,3.92,99,83,171,97,"please check seems flat"
48,2,"036Ferns_22316b055381c9b92c75cb2a20dd627b3ac1db95_out.chart","48_2_036Ferns",SM,,3.81,85,92,166,95,
48,3,"037Folio_c7c3f1a18f6c8ce3186b9715cb93491f9d38bd6d_out.chart","48_3_037Folio",SM,,3.86,103,81,169,107,"double YO"
49,1,"039Lux 2_96f719e83df48dda6dc60239447dd48c2c2c41bb_out.chart","49_1_039Lux 2",SM,,3.94,104,80,177,91,
49,2,"040raven_a612e34aaa30b4f742111567a61da3ef59dd4e60_out.chart","49_2_040raven",SM,,4.04,93,89,184,108,"double YO (deliberate?)"
49,3,"041test!_c673e7af4b13e5dfada770970a761bd631908243_out.chart","49_3_041test!",SM,,3.88,104,71,161,114,
50,1,"042Totem_5096e84f9d630306dd1d35cfc3fccf08c1997f5b_out.chart","50_1_042Totem",SM,,3.91,101,83,196,179,
50,2,"043weavy_62e2febbac053e4e5e714e6fb2923cf51c949890_out.chart","50_2_043weavy",SM,,4.13,93,86,195,86,"oily; may influence weight"
50,3,"045Woven_9b43c718e4f4b61e85762cc4fec7652e4d5d7d44_out.chart","50_3_045Woven",SM,,4.00,101,81,205,80,
51,1,"046Acadia_918838a9c324b7e9e51d9aa2096f30c05aaa9275_out.chart","51_1_046Acadia",SM,,3.92,105,80,187,99,
51,2,"048Bamboo_1282a00de3d6b6dc70a97e71e7db4e7273d2133a_out.chart","51_2_048Bamboo",SM,,3.93,106,81,174,95,
51,3,"049Cancun_0a5d01143dcbc86e11e39f0a7008864b18094b0d_out.chart","51_3_049Cancun",SM,,3.94,104,79,153,106,"double decrease"
52,1,"050Idella_41f09fa5143f4fde80b1408ddbd2023af62e307f_out.chart","52_1_050Idella",SM,,3.92,107,72,164,102,
52,2,"051lace 1_d3c37dfe2355eba35d4ef33fc84be1682349a768_out.chart","52_2_051lace 1",SM,,3.97,106,79,179,107,
52,3,"052Leaves_a7509276ba89a662faddc898cb10a4cc7afe7667_out.chart","52_3_052Leaves",SM,,4.00,86,85,169,103,
53,1,"053Leaves_b62e4b681f869c312d5193b9b653b5028358c4c3_out.chart","53_1_053Leaves",SM,,4.07,86,86,171,100,
53,2,"054Leaves_c1c31fd13af2f4f69b9e7a4e1019d89237b65a6b_out.chart","53_2_054Leaves",SM,,3.88,87,89,178,95,
53,3,"055Lovely_a6ba256f3ce3adda8c04c1609c69fa43326b5876_out.chart","53_3_055Lovely",SM,,3.86,94,82,186,99,
54,1,"056Medley_a9ce24bb78574be15f90a7e9b57d32e98a23d255_out.chart","54_1_056Medley",SM,,3.91,94,91,183,114,
54,2,"057Owlets_cecd47ff445909e50de23b8b1e18ebc32878eb37_out.chart","54_2_057Owlets",SM,,3.97,102,88,172,111,
54,3,"058Pointy_09fd59aa65a1caa563abd92d91756d87b37b8b9b_out.chart","54_3_058Pointy",SM,,3.81,103,89,176,100,
55,1,"059Random_54cd9e7dabc7ea76a099903f5b2a23ea9a01acd8_out.chart","55_1_059Random",SM,,3.93,94,84,184,102,
55,2,"060ribbit_fb7d868e0f0ab45e43e83068a7f6b8e388ed281c_out.chart","55_2_060ribbit",SM,,4.18,119,83,202,119,
55,3,"061Ribbon_41c007964076764747fceadae108ab0d3380e0ff_out.chart","55_3_061Ribbon",SM,,3.82,112,82,184,99,
56,1,"062Scarab_8ae36bbec6ac2ae4a4c09bf707e2f3cfcda9e454_out.chart","56_1_062Scarab",SM,,4.05,96,83,178,110,
56,2,"063Spokes_bf3d3202373c3db9a59b00d182bace7a362de46f_out.chart","56_2_063Spokes",SM,,4.05,105,84,186,109,
56,3,"064Subtle_de074f71e3eb0bba8e4389fcbb6e811bdb56d319_out.chart","56_3_064Subtle",SM,,3.76,107,83,163,105,
57,1,"065Summer_0abfe3d8339dc168074831a883d26b98f3214ea3_out.chart","57_1_065Summer",SM,,3.84,98,94,157,112,"deliberate double YO"
57,2,"066Thorny_592d81daf437677a9a242c0ce3748be32e7e3230_out.chart","57_2_066Thorny",SM,,4.05,104,84,166,107,
57,3,"067Twirly_56d31358ff7f5f2ee795657dcc7369bbab40d270_out.chart","57_3_067Twirly",SM,,3.98,92,87,174,102,
58,1,"068Wave 1_35ecf5815b61b9445443c933bfc2c669b47f0468_out.chart","58_1_068Wave 1",SM,,3.91,103,73,168,104,
58,2,"069Beetles_f78814f997af9eccde9e42d90e3ae21519aa55d9_out.chart","58_2_069Beetles",SM,,3.85,107,84,164,112,
58,3,"070Beloved_3d97e68e4ed40fe21a57b648045d440b71b39b97_out.chart","58_3_070Beloved",SM,,3.90,99,86,167,105,"not actually a viable pattern -- quadruple YO"
59,1,"071Brianne_f4cb244811a277c954978254096041141bea1958_out.chart","59_1_071Brianne",SM,,3.85,94,84,159,110,
59,2,"072brioche_dedead2e29a5ecee8dbdc3fc55106abd140a260b_out.chart","59_2_072brioche",SM,,3.73,122,100,167,113,
59,3,"073Cable 1_2fc3da45184e0ab97bbd8ea03ca67d0ab1549537_out.chart","59_3_073Cable 1",SM,,3.75,86,72,124,89,
60,1,"074Cable 2_63f17791daf33eb862cceb952f4fafe4d833b9fe_out.chart","60_1_074Cable 2",SM,,4.01,95,78,156,85,
60,2,"075Cable 3_9186101b6d066c842719a7b737a468863b0a4ce4_out.chart","60_2_075Cable 3",SM,,3.90,89,71,121,91,"doesn't *seem* to have cables (""cable bug"")"
60,3,"076Cascade_00394fb819deaa5ec947798de284ee381c0f64f6_out.chart","60_3_076Cascade",SM,,3.93,101,93,164,67,"(unskewed relaxed: 93w, 93h)"
61,1,"077Cha-cha_d4dfd0281019c59e5f4ae638288b9c51959a89a4_out.chart","61_1_077Cha-cha",SM,,3.98,100,91,191,102,
61,2,"078circles_5ecc9b213646a78f2986d6cd8923096400538954_out.chart","61_2_078circles",SM,,3.88,119,75,177,110,
61,3,"079Corinna_37ab2196bf2f3c96b916621e6b9add7c189b1849_out.chart","61_3_079Corinna",SM,,3.87,107,81,187,101,
62,1,"080Crystal_fc0c0c5ec55ca848da8a9d909de80d9ed25b14a8_out.chart","62_1_080Crystal",SM,,4.05,124,78,200,85,
62,2,"081daisies_347bbddb374c2f285c8d931a0b5b0c0def822205_out.chart","62_2_081daisies",SM,,3.82,112,80,184,99,
62,3,"082diag ck_53989aaad07c719c4b48d3657423f39718056c20_out.chart","62_3_082diag ck",SM,,4.12,97,86,194,105,"ran out of yarn; needs to be reknit"
63,1,"083Diamond_fa67fce91c7ca87bd9565417130a6fb51fd2e0d8_out.chart","63_1_083Diamond",SM,,4.04,114,87,195,103,
63,2,"085Equinox_fd5ddf4283dc7d6f34725a5853decd97ed724afd_out.chart","63_2_085Equinox",SM,,3.83,102,83,172,100,"deliberate double YO"
63,3,"086Furrows_3a05dfff2b97a9f5fcd89fb5c095e2f9e2c59638_out.chart","63_3_086Furrows",SM,,3.91,78,85,188,110,
64,1,"087Garland_fc2e738188428301acf2e5c1b40a5d1691fe97b0_out.chart","64_1_087Garland",SM,,3.91,100,82,175,103,
64,2,"089Glacier_a487491b31ccd0f21c1dc9e6abb3abd48a8126f3_out.chart","64_2_089Glacier",SM,,3.89,99,87,163,105,"double decrease"
64,3,"090Iceberg_abd45ddfeaee93f98654f52b4632afa8e87b6e20_out.chart","64_3_090Iceberg",SM,,3.88,99,91,168,112,"deliberate double YO"
65,2,"092Ripples_43fa0d121df98d9b497eb984825004818db5b76c_out.chart","65_2_092Ripples",SM,,3.95,103,79,188,111,
65,3,"093saphill_c29ace1f7332942d1595bc6ba9795e0b46b45ca2_out.chart","65_3_093saphill",SM,,3.99,102,80,183,102,
66,1,"094shellac_456913693f9b30d9b32a03b08c5c0dcb2c64c39e_out.chart","66_1_094shellac",SM,,3.87,100,83,162,92,
66,2,"095teatest_019815c28ae460f518dcfc58cb28ddaefa982587_out.chart","66_2_095teatest",SM,,3.80,108,87,172,92,
66,3,"096teatest_60a22bca2c8eb0fbfb5a40a128354f2ee8b80d1f_out.chart","66_3_096teatest",SM,,3.88,109,83,165,95,"NOTE: stretched image doesn't show tag, but is in the right place in the image sequence"
67,1,"097teatest_ffb7e58651bf5cd34193ff48773e644fd8aa0d18_out.chart","67_1_097teatest",SM,,3.96,110,82,178,91,
67,2,"098Testing_df53f338ce6e296a0c40e1518dfc73a02cff2c88_out.chart","67_2_098Testing",SM,,3.98,109,86,181,95,
67,3,"099The Bat_bc5eb6c3650167aaee35380d461a78d8c82f6b10_out.chart","67_3_099The Bat",SM,,3.97,104,81,162,100,"second repeat is inverted? ask Megan"
